ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Mode_of_Shipment_encoded,Customer_rating_category,Prior_purchases_category,Gender_encoded,Interaction_CustomerRating_Discount,Interaction_CustomerCalls_Rating,Shipping_speed,Total_interactions,Expected_delivery_time,CustomerCare_vs_ExpectedTime,ProductImportance_avg_delivery,ShippingMode_avg_delivery,Interaction_Weight_Discount,Customer_rating_and_delivery_time,Product_importance_and_delivery_time,High_product_importance_and_high_rating,Weight_category,Discount_category,Product_Value,Customer_Loyalty,Customer_Satisfaction_Score,Delivery_Time_per_Weight
2783,C,Ship,4,4,173,3,medium,F,61,1609,1,1,Standard,Low,0,244,16,402.25,7,4,0,0.5904501472444258,0.5975609756097561,98149,4,medium,0,Light,High,278357,Regular,2.5,402.25
2784,F,Ship,3,2,98,3,medium,F,60,1057,1,1,Low,Low,0,120,6,352.3333333333333,6,4,-1,0.5904501472444258,0.5975609756097561,63420,2,medium,0,Light,High,103586,Regular,1.5,264.25
2785,D,Ship,3,1,231,2,low,M,24,3811,1,1,VeryLow,Very Low,1,24,3,1270.3333333333333,5,4,-1,0.5927883707759108,0.5975609756097561,91464,1,low,0,Medium,Medium,880341,New,1.0,952.75
2786,F,Ship,5,3,149,7,medium,F,51,1425,1,1,Average,Medium,0,153,15,285.0,12,4,1,0.5904501472444258,0.5975609756097561,72675,3,medium,0,Light,High,212325,Frequent,2.0,356.25
2787,A,Ship,3,5,206,3,medium,M,21,3746,1,1,High,Low,1,105,15,1248.6666666666667,6,4,-1,0.5904501472444258,0.5975609756097561,78666,5,medium,0,Medium,Medium,771676,Regular,3.0,936.5
2788,B,Ship,5,4,264,10,medium,F,34,2960,1,1,Standard,Medium,0,136,20,592.0,15,4,1,0.5904501472444258,0.5975609756097561,100640,4,medium,0,Medium,High,781440,Frequent,2.5,740.0
2789,C,Ship,3,5,193,2,medium,F,12,3730,1,1,High,Very Low,0,60,15,1243.3333333333333,5,4,-1,0.5904501472444258,0.5975609756097561,44760,5,medium,0,Medium,Medium,719890,New,3.0,932.5
2790,F,Ship,5,2,263,2,medium,F,51,1657,1,1,Low,Very Low,0,102,10,331.4,7,4,1,0.5904501472444258,0.5975609756097561,84507,2,medium,0,Light,High,435791,New,1.5,414.25
2791,D,Ship,2,5,282,5,low,M,63,1173,1,1,High,Low,1,315,10,586.5,7,4,-2,0.5927883707759108,0.5975609756097561,73899,5,low,0,Light,High,330786,Regular,3.0,293.25
2792,F,Ship,5,4,193,3,low,M,55,2758,1,1,Standard,Low,1,220,20,551.6,8,4,1,0.5927883707759108,0.5975609756097561,151690,4,low,0,Medium,High,532294,Regular,2.5,689.5
2793,A,Ship,4,4,171,3,medium,F,11,1594,1,1,Standard,Low,0,44,16,398.5,7,4,0,0.5904501472444258,0.5975609756097561,17534,4,medium,0,Light,Medium,272574,Regular,2.5,398.5
2794,B,Ship,3,5,212,3,low,F,19,2703,1,1,High,Low,0,95,15,901.0,6,4,-1,0.5927883707759108,0.5975609756097561,51357,5,low,0,Medium,Medium,573036,Regular,3.0,675.75
2795,C,Ship,2,1,159,2,low,F,44,1213,1,1,VeryLow,Very Low,0,44,2,606.5,4,4,-2,0.5927883707759108,0.5975609756097561,53372,1,low,0,Light,High,192867,New,1.0,303.25
2796,F,Ship,3,2,102,4,medium,M,57,1220,1,1,Low,Low,1,114,6,406.6666666666667,7,4,-1,0.5904501472444258,0.5975609756097561,69540,2,medium,0,Light,High,124440,Regular,1.5,305.0
2797,D,Ship,3,2,145,2,medium,F,29,1690,1,1,Low,Very Low,0,58,6,563.3333333333334,5,4,-1,0.5904501472444258,0.5975609756097561,49010,2,medium,0,Light,Medium,245050,New,1.5,422.5
2798,F,Ship,3,1,225,2,high,F,43,2585,1,1,VeryLow,Very Low,0,43,3,861.6666666666666,5,4,-1,0.6497890295358649,0.5975609756097561,111155,1,high,0,Medium,High,581625,New,1.0,646.25
2799,A,Ship,2,1,174,3,medium,F,12,1358,1,1,VeryLow,Low,0,12,2,679.0,5,4,-2,0.5904501472444258,0.5975609756097561,16296,1,medium,0,Light,Medium,236292,Regular,1.0,339.5
2800,B,Ship,4,3,223,4,low,F,25,3148,1,1,Average,Low,0,75,12,787.0,8,4,0,0.5927883707759108,0.5975609756097561,78700,3,low,0,Medium,Medium,702004,Regular,2.0,787.0
2801,C,Ship,3,5,185,2,low,F,36,3501,1,1,High,Very Low,0,180,15,1167.0,5,4,-1,0.5927883707759108,0.5975609756097561,126036,5,low,0,Medium,High,647685,New,3.0,875.25
2802,F,Ship,4,5,245,3,medium,M,6,2717,1,1,High,Low,1,30,20,679.25,7,4,0,0.5904501472444258,0.5975609756097561,16302,5,medium,0,Medium,Low,665665,Regular,3.0,679.25
2803,D,Ship,3,3,99,3,high,M,63,1223,1,1,Average,Low,1,189,9,407.6666666666667,6,4,-1,0.6497890295358649,0.5975609756097561,77049,3,high,0,Light,High,121077,Regular,2.0,305.75
2804,F,Ship,3,3,141,4,low,F,35,1417,1,1,Average,Low,0,105,9,472.3333333333333,7,4,-1,0.5927883707759108,0.5975609756097561,49595,3,low,0,Light,High,199797,Regular,2.0,354.25
2805,A,Ship,4,2,222,2,medium,F,16,2518,1,1,Low,Very Low,0,32,8,629.5,6,4,0,0.5904501472444258,0.5975609756097561,40288,2,medium,0,Medium,Medium,558996,New,1.5,629.5
2806,B,Ship,3,2,192,3,medium,F,64,3233,1,1,Low,Low,0,128,6,1077.6666666666667,6,4,-1,0.5904501472444258,0.5975609756097561,206912,2,medium,0,Medium,High,620736,Regular,1.5,808.25
2807,C,Ship,3,1,187,4,medium,M,42,3621,1,1,VeryLow,Low,1,42,3,1207.0,7,4,-1,0.5904501472444258,0.5975609756097561,152082,1,medium,0,Medium,High,677127,Regular,1.0,905.25
2808,F,Ship,4,2,216,2,low,F,26,2431,1,1,Low,Very Low,0,52,8,607.75,6,4,0,0.5927883707759108,0.5975609756097561,63206,2,low,0,Medium,Medium,525096,New,1.5,607.75
2809,D,Ship,3,2,146,4,low,M,13,1790,1,1,Low,Low,1,26,6,596.6666666666666,7,4,-1,0.5927883707759108,0.5975609756097561,23270,2,low,0,Light,Medium,261340,Regular,1.5,447.5
2810,F,Ship,3,2,207,2,low,M,20,3419,1,1,Low,Very Low,1,40,6,1139.6666666666667,5,4,-1,0.5927883707759108,0.5975609756097561,68380,2,low,0,Medium,Medium,707733,New,1.5,854.75
2811,A,Ship,4,2,225,2,low,F,6,2010,1,1,Low,Very Low,0,12,8,502.5,6,4,0,0.5927883707759108,0.5975609756097561,12060,2,low,0,Medium,Low,452250,New,1.5,502.5
2812,B,Ship,3,4,230,2,medium,F,15,2302,1,1,Standard,Very Low,0,60,12,767.3333333333334,5,4,-1,0.5904501472444258,0.5975609756097561,34530,4,medium,0,Medium,Medium,529460,New,2.5,575.5
2813,C,Ship,3,2,173,3,medium,F,37,1990,1,1,Low,Low,0,74,6,663.3333333333334,6,4,-1,0.5904501472444258,0.5975609756097561,73630,2,medium,0,Light,High,344270,Regular,1.5,497.5
2814,F,Ship,4,4,127,4,high,M,54,1239,1,1,Standard,Low,1,216,16,309.75,8,4,0,0.6497890295358649,0.5975609756097561,66906,4,high,0,Light,High,157353,Regular,2.5,309.75
2815,D,Ship,3,3,214,2,low,M,28,3869,1,1,Average,Very Low,1,84,9,1289.6666666666667,5,4,-1,0.5927883707759108,0.5975609756097561,108332,3,low,0,Medium,Medium,827966,New,2.0,967.25
2816,F,Ship,4,1,161,3,low,M,59,1454,1,1,VeryLow,Low,1,59,4,363.5,7,4,0,0.5927883707759108,0.5975609756097561,85786,1,low,0,Light,High,234094,Regular,1.0,363.5
2817,A,Ship,4,2,262,2,low,F,37,3523,1,1,Low,Very Low,0,74,8,880.75,6,4,0,0.5927883707759108,0.5975609756097561,130351,2,low,0,Medium,High,923026,New,1.5,880.75
2818,B,Ship,5,2,157,3,low,M,1,1798,1,1,Low,Low,1,2,10,359.6,8,4,1,0.5927883707759108,0.5975609756097561,1798,2,low,0,Light,Low,282286,Regular,1.5,449.5
2819,C,Ship,3,1,164,3,medium,F,9,1803,1,1,VeryLow,Low,0,9,3,601.0,6,4,-1,0.5904501472444258,0.5975609756097561,16227,1,medium,0,Light,Low,295692,Regular,1.0,450.75
2820,F,Ship,4,4,174,2,low,F,11,1577,1,1,Standard,Very Low,0,44,16,394.25,6,4,0,0.5927883707759108,0.5975609756097561,17347,4,low,0,Light,Medium,274398,New,2.5,394.25
2821,D,Ship,2,2,188,4,medium,M,39,2424,1,1,Low,Low,1,78,4,1212.0,6,4,-2,0.5904501472444258,0.5975609756097561,94536,2,medium,0,Medium,High,455712,Regular,1.5,606.0
2822,F,Ship,3,1,141,2,low,F,4,1297,1,1,VeryLow,Very Low,0,4,3,432.3333333333333,5,4,-1,0.5927883707759108,0.5975609756097561,5188,1,low,0,Light,Low,182877,New,1.0,324.25
2823,A,Ship,5,5,134,2,medium,M,64,1785,1,1,High,Very Low,1,320,25,357.0,7,4,1,0.5904501472444258,0.5975609756097561,114240,5,medium,0,Light,High,239190,New,3.0,446.25
2824,B,Ship,2,4,147,2,medium,F,65,1738,1,1,Standard,Very Low,0,260,8,869.0,4,4,-2,0.5904501472444258,0.5975609756097561,112970,4,medium,0,Light,High,255486,New,2.5,434.5
2825,C,Ship,4,1,180,3,medium,M,27,1551,1,1,VeryLow,Low,1,27,4,387.75,7,4,0,0.5904501472444258,0.5975609756097561,41877,1,medium,0,Light,Medium,279180,Regular,1.0,387.75
2826,F,Ship,3,3,225,2,medium,M,55,2259,1,1,Average,Very Low,1,165,9,753.0,5,4,-1,0.5904501472444258,0.5975609756097561,124245,3,medium,0,Medium,High,508275,New,2.0,564.75
2827,D,Ship,2,3,172,3,medium,F,11,1522,1,1,Average,Low,0,33,6,761.0,5,4,-2,0.5904501472444258,0.5975609756097561,16742,3,medium,0,Light,Medium,261784,Regular,2.0,380.5
2828,F,Ship,6,2,131,5,medium,F,5,1718,1,1,Low,Low,0,10,12,286.3333333333333,11,4,2,0.5904501472444258,0.5975609756097561,8590,2,medium,0,Light,Low,225058,Regular,1.5,429.5
2829,A,Ship,3,1,270,4,low,M,47,3487,1,1,VeryLow,Low,1,47,3,1162.3333333333333,7,4,-1,0.5927883707759108,0.5975609756097561,163889,1,low,0,Medium,High,941490,Regular,1.0,871.75
2830,B,Ship,3,4,172,3,low,M,56,1103,1,1,Standard,Low,1,224,12,367.6666666666667,6,4,-1,0.5927883707759108,0.5975609756097561,61768,4,low,0,Light,High,189716,Regular,2.5,275.75
2831,C,Ship,4,5,198,3,medium,M,33,2129,1,1,High,Low,1,165,20,532.25,7,4,0,0.5904501472444258,0.5975609756097561,70257,5,medium,0,Medium,High,421542,Regular,3.0,532.25
2832,F,Ship,4,2,167,3,low,M,21,1637,1,1,Low,Low,1,42,8,409.25,7,4,0,0.5927883707759108,0.5975609756097561,34377,2,low,0,Light,Medium,273379,Regular,1.5,409.25
2833,D,Ship,2,2,168,5,medium,F,1,1885,1,1,Low,Low,0,2,4,942.5,7,4,-2,0.5904501472444258,0.5975609756097561,1885,2,medium,0,Light,Low,316680,Regular,1.5,471.25
2834,F,Ship,4,1,165,4,medium,F,34,1831,1,1,VeryLow,Low,0,34,4,457.75,8,4,0,0.5904501472444258,0.5975609756097561,62254,1,medium,0,Light,High,302115,Regular,1.0,457.75
2835,A,Ship,4,5,149,6,medium,M,40,1974,1,1,High,Medium,1,200,20,493.5,10,4,0,0.5904501472444258,0.5975609756097561,78960,5,medium,0,Light,High,294126,Frequent,3.0,493.5
2836,B,Ship,3,3,186,3,low,M,24,3262,1,1,Average,Low,1,72,9,1087.3333333333333,6,4,-1,0.5927883707759108,0.5975609756097561,78288,3,low,0,Medium,Medium,606732,Regular,2.0,815.5
2837,C,Ship,4,1,151,2,low,F,47,1682,1,1,VeryLow,Very Low,0,47,4,420.5,6,4,0,0.5927883707759108,0.5975609756097561,79054,1,low,0,Light,High,253982,New,1.0,420.5
2838,F,Ship,3,5,146,3,medium,F,30,1569,1,1,High,Low,0,150,15,523.0,6,4,-1,0.5904501472444258,0.5975609756097561,47070,5,medium,0,Light,Medium,229074,Regular,3.0,392.25
2839,D,Ship,4,5,232,2,low,M,54,2526,1,1,High,Very Low,1,270,20,631.5,6,4,0,0.5927883707759108,0.5975609756097561,136404,5,low,0,Medium,High,586032,New,3.0,631.5
2840,F,Ship,4,1,177,2,low,F,22,1698,1,1,VeryLow,Very Low,0,22,4,424.5,6,4,0,0.5927883707759108,0.5975609756097561,37356,1,low,0,Light,Medium,300546,New,1.0,424.5
2841,A,Ship,4,4,149,2,medium,F,19,1665,1,1,Standard,Very Low,0,76,16,416.25,6,4,0,0.5904501472444258,0.5975609756097561,31635,4,medium,0,Light,Medium,248085,New,2.5,416.25
2842,B,Ship,4,2,180,3,low,M,3,1518,1,1,Low,Low,1,6,8,379.5,7,4,0,0.5927883707759108,0.5975609756097561,4554,2,low,0,Light,Low,273240,Regular,1.5,379.5
2843,C,Ship,5,5,172,2,medium,F,40,1446,1,1,High,Very Low,0,200,25,289.2,7,4,1,0.5904501472444258,0.5975609756097561,57840,5,medium,0,Light,High,248712,New,3.0,361.5
2844,F,Ship,5,2,160,3,medium,M,44,1054,1,1,Low,Low,1,88,10,210.8,8,4,1,0.5904501472444258,0.5975609756097561,46376,2,medium,0,Light,High,168640,Regular,1.5,263.5
2845,D,Ship,3,2,206,2,medium,F,28,2822,1,1,Low,Very Low,0,56,6,940.6666666666666,5,4,-1,0.5904501472444258,0.5975609756097561,79016,2,medium,0,Medium,Medium,581332,New,1.5,705.5
2846,F,Ship,4,5,146,3,low,F,9,1685,1,1,High,Low,0,45,20,421.25,7,4,0,0.5927883707759108,0.5975609756097561,15165,5,low,0,Light,Low,246010,Regular,3.0,421.25
2847,A,Ship,2,1,257,2,low,F,24,2130,1,1,VeryLow,Very Low,0,24,2,1065.0,4,4,-2,0.5927883707759108,0.5975609756097561,51120,1,low,0,Medium,Medium,547410,New,1.0,532.5
2848,B,Ship,5,5,219,3,medium,M,27,3430,1,1,High,Low,1,135,25,686.0,8,4,1,0.5904501472444258,0.5975609756097561,92610,5,medium,0,Medium,Medium,751170,Regular,3.0,857.5
2849,C,Ship,4,2,274,2,medium,M,55,3416,1,1,Low,Very Low,1,110,8,854.0,6,4,0,0.5904501472444258,0.5975609756097561,187880,2,medium,0,Medium,High,935984,New,1.5,854.0
2850,F,Ship,2,2,177,5,low,M,36,1249,1,1,Low,Low,1,72,4,624.5,7,4,-2,0.5927883707759108,0.5975609756097561,44964,2,low,0,Light,High,221073,Regular,1.5,312.25
2851,D,Road,4,3,209,2,medium,M,57,3741,1,3,Average,Very Low,1,171,12,935.25,6,6,-2,0.5904501472444258,0.5880681818181818,213237,3,medium,0,Medium,High,781869,New,2.0,623.5
2852,F,Road,4,1,207,2,low,M,2,3242,1,3,VeryLow,Very Low,1,2,4,810.5,6,6,-2,0.5927883707759108,0.5880681818181818,6484,1,low,0,Medium,Low,671094,New,1.0,540.3333333333334
2853,A,Road,4,4,153,3,low,F,27,1613,1,3,Standard,Low,0,108,16,403.25,7,6,-2,0.5927883707759108,0.5880681818181818,43551,4,low,0,Light,Medium,246789,Regular,2.5,268.8333333333333
2854,B,Road,4,4,158,3,low,F,61,1507,1,3,Standard,Low,0,244,16,376.75,7,6,-2,0.5927883707759108,0.5880681818181818,91927,4,low,0,Light,High,238106,Regular,2.5,251.16666666666666
2855,C,Road,3,4,261,2,medium,F,52,3340,1,3,Standard,Very Low,0,208,12,1113.3333333333333,5,6,-3,0.5904501472444258,0.5880681818181818,173680,4,medium,0,Medium,High,871740,New,2.5,556.6666666666666
2856,F,Road,4,1,182,6,low,M,41,2047,1,3,VeryLow,Medium,1,41,4,511.75,10,6,-2,0.5927883707759108,0.5880681818181818,83927,1,low,0,Medium,High,372554,Frequent,1.0,341.1666666666667
2857,D,Road,2,3,128,2,medium,F,53,1530,1,3,Average,Very Low,0,159,6,765.0,4,6,-4,0.5904501472444258,0.5880681818181818,81090,3,medium,0,Light,High,195840,New,2.0,255.0
2858,F,Road,2,1,178,3,low,M,6,1184,1,3,VeryLow,Low,1,6,2,592.0,5,6,-4,0.5927883707759108,0.5880681818181818,7104,1,low,0,Light,Low,210752,Regular,1.0,197.33333333333334
2859,A,Road,2,4,198,3,low,M,37,2555,1,3,Standard,Low,1,148,8,1277.5,5,6,-4,0.5927883707759108,0.5880681818181818,94535,4,low,0,Medium,High,505890,Regular,2.5,425.8333333333333
2860,B,Road,4,3,137,3,medium,M,46,1299,1,3,Average,Low,1,138,12,324.75,7,6,-2,0.5904501472444258,0.5880681818181818,59754,3,medium,0,Light,High,177963,Regular,2.0,216.5
2861,C,Road,4,1,168,2,low,F,41,1515,1,3,VeryLow,Very Low,0,41,4,378.75,6,6,-2,0.5927883707759108,0.5880681818181818,62115,1,low,0,Light,High,254520,New,1.0,252.5
2862,F,Road,3,3,248,4,low,F,36,3276,1,3,Average,Low,0,108,9,1092.0,7,6,-3,0.5927883707759108,0.5880681818181818,117936,3,low,0,Medium,High,812448,Regular,2.0,546.0
2863,D,Road,5,2,225,3,medium,F,29,2411,1,3,Low,Low,0,58,10,482.2,8,6,-1,0.5904501472444258,0.5880681818181818,69919,2,medium,0,Medium,Medium,542475,Regular,1.5,401.8333333333333
2864,F,Road,5,4,239,2,low,M,35,2107,1,3,Standard,Very Low,1,140,20,421.4,7,6,-1,0.5927883707759108,0.5880681818181818,73745,4,low,0,Medium,High,503573,New,2.5,351.1666666666667
2865,A,Road,5,4,256,3,low,F,43,3658,1,3,Standard,Low,0,172,20,731.6,8,6,-1,0.5927883707759108,0.5880681818181818,157294,4,low,0,Medium,High,936448,Regular,2.5,609.6666666666666
2866,B,Road,5,1,109,2,high,M,23,1479,1,3,VeryLow,Very Low,1,23,5,295.8,7,6,-1,0.6497890295358649,0.5880681818181818,34017,1,high,0,Light,Medium,161211,New,1.0,246.5
2867,C,Road,3,3,274,2,medium,F,59,3436,1,3,Average,Very Low,0,177,9,1145.3333333333333,5,6,-3,0.5904501472444258,0.5880681818181818,202724,3,medium,0,Medium,High,941464,New,2.0,572.6666666666666
2868,F,Road,5,4,157,4,low,F,65,1951,1,3,Standard,Low,0,260,20,390.2,9,6,-1,0.5927883707759108,0.5880681818181818,126815,4,low,0,Light,High,306307,Regular,2.5,325.1666666666667
2869,D,Road,3,2,125,3,medium,F,12,1212,1,3,Low,Low,0,24,6,404.0,6,6,-3,0.5904501472444258,0.5880681818181818,14544,2,medium,0,Light,Medium,151500,Regular,1.5,202.0
2870,F,Road,4,5,203,2,low,F,20,2421,1,3,High,Very Low,0,100,20,605.25,6,6,-2,0.5927883707759108,0.5880681818181818,48420,5,low,0,Medium,Medium,491463,New,3.0,403.5
2871,A,Road,3,3,120,3,low,F,55,1534,1,3,Average,Low,0,165,9,511.3333333333333,6,6,-3,0.5927883707759108,0.5880681818181818,84370,3,low,0,Light,High,184080,Regular,2.0,255.66666666666666
2872,B,Road,3,5,194,4,medium,F,21,2695,1,3,High,Low,0,105,15,898.3333333333334,7,6,-3,0.5904501472444258,0.5880681818181818,56595,5,medium,0,Medium,Medium,522830,Regular,3.0,449.1666666666667
2873,C,Flight,4,2,257,4,high,M,58,2269,1,2,Low,Low,1,116,8,567.25,8,2,2,0.6497890295358649,0.6015756893640968,131602,2,high,0,Medium,High,583133,Regular,1.5,1134.5
2874,F,Flight,4,4,233,2,medium,M,39,2291,1,2,Standard,Very Low,1,156,16,572.75,6,2,2,0.5904501472444258,0.6015756893640968,89349,4,medium,0,Medium,High,533803,New,2.5,1145.5
2875,D,Flight,5,2,193,2,low,F,1,2775,1,2,Low,Very Low,0,2,10,555.0,7,2,3,0.5927883707759108,0.6015756893640968,2775,2,low,0,Medium,Low,535575,New,1.5,1387.5
2876,F,Flight,5,3,202,6,low,F,34,2936,1,2,Average,Medium,0,102,15,587.2,11,2,3,0.5927883707759108,0.6015756893640968,99824,3,low,0,Medium,High,593072,Frequent,2.0,1468.0
2877,A,Flight,4,5,270,3,low,M,30,2720,1,2,High,Low,1,150,20,680.0,7,2,2,0.5927883707759108,0.6015756893640968,81600,5,low,0,Medium,Medium,734400,Regular,3.0,1360.0
2878,B,Flight,5,5,240,3,medium,F,12,2723,1,2,High,Low,0,60,25,544.6,8,2,3,0.5904501472444258,0.6015756893640968,32676,5,medium,0,Medium,Medium,653520,Regular,3.0,1361.5
2879,C,Flight,3,2,224,3,medium,M,63,2085,1,2,Low,Low,1,126,6,695.0,6,2,1,0.5904501472444258,0.6015756893640968,131355,2,medium,0,Medium,High,467040,Regular,1.5,1042.5
2880,F,Flight,4,1,195,2,medium,M,19,2878,1,2,VeryLow,Very Low,1,19,4,719.5,6,2,2,0.5904501472444258,0.6015756893640968,54682,1,medium,0,Medium,Medium,561210,New,1.0,1439.0
2881,D,Flight,3,2,165,3,medium,M,47,1639,1,2,Low,Low,1,94,6,546.3333333333334,6,2,1,0.5904501472444258,0.6015756893640968,77033,2,medium,0,Light,High,270435,Regular,1.5,819.5
2882,F,Flight,4,1,164,2,medium,F,3,1124,1,2,VeryLow,Very Low,0,3,4,281.0,6,2,2,0.5904501472444258,0.6015756893640968,3372,1,medium,0,Light,Low,184336,New,1.0,562.0
2883,A,Flight,3,1,105,3,low,M,58,1304,1,2,VeryLow,Low,1,58,3,434.6666666666667,6,2,1,0.5927883707759108,0.6015756893640968,75632,1,low,0,Light,High,136920,Regular,1.0,652.0
2884,B,Flight,3,1,248,3,low,M,9,2616,1,2,VeryLow,Low,1,9,3,872.0,6,2,1,0.5927883707759108,0.6015756893640968,23544,1,low,0,Medium,Low,648768,Regular,1.0,1308.0
2885,C,Flight,4,3,269,6,medium,M,62,3950,1,2,Average,Medium,1,186,12,987.5,10,2,2,0.5904501472444258,0.6015756893640968,244900,3,medium,0,Medium,High,1062550,Frequent,2.0,1975.0
2886,F,Flight,4,1,253,3,low,M,36,2591,1,2,VeryLow,Low,1,36,4,647.75,7,2,2,0.5927883707759108,0.6015756893640968,93276,1,low,0,Medium,High,655523,Regular,1.0,1295.5
2887,D,Flight,3,1,231,4,medium,F,60,3755,1,2,VeryLow,Low,0,60,3,1251.6666666666667,7,2,1,0.5904501472444258,0.6015756893640968,225300,1,medium,0,Medium,High,867405,Regular,1.0,1877.5
2888,F,Flight,3,1,164,2,low,F,39,1532,1,2,VeryLow,Very Low,0,39,3,510.6666666666667,5,2,1,0.5927883707759108,0.6015756893640968,59748,1,low,0,Light,High,251248,New,1.0,766.0
2889,A,Flight,3,3,176,3,medium,M,14,1705,1,2,Average,Low,1,42,9,568.3333333333334,6,2,1,0.5904501472444258,0.6015756893640968,23870,3,medium,0,Light,Medium,300080,Regular,2.0,852.5
2890,B,Flight,4,3,149,3,medium,M,17,1990,1,2,Average,Low,1,51,12,497.5,7,2,2,0.5904501472444258,0.6015756893640968,33830,3,medium,0,Light,Medium,296510,Regular,2.0,995.0
2891,C,Flight,4,5,187,5,medium,M,16,3781,1,2,High,Low,1,80,20,945.25,9,2,2,0.5904501472444258,0.6015756893640968,60496,5,medium,0,Medium,Medium,707047,Regular,3.0,1890.5
2892,F,Flight,3,2,150,2,low,M,53,1319,1,2,Low,Very Low,1,106,6,439.6666666666667,5,2,1,0.5927883707759108,0.6015756893640968,69907,2,low,0,Light,High,197850,New,1.5,659.5
2893,D,Flight,3,2,190,3,medium,M,18,2715,1,2,Low,Low,1,36,6,905.0,6,2,1,0.5904501472444258,0.6015756893640968,48870,2,medium,0,Medium,Medium,515850,Regular,1.5,1357.5
2894,F,Flight,4,1,226,3,low,M,42,3077,1,2,VeryLow,Low,1,42,4,769.25,7,2,2,0.5927883707759108,0.6015756893640968,129234,1,low,0,Medium,High,695402,Regular,1.0,1538.5
2895,A,Ship,3,4,98,2,low,F,32,1539,1,1,Standard,Very Low,0,128,12,513.0,5,4,-1,0.5927883707759108,0.5975609756097561,49248,4,low,0,Light,High,150822,New,2.5,384.75
2896,B,Ship,3,5,152,2,medium,F,6,1800,1,1,High,Very Low,0,30,15,600.0,5,4,-1,0.5904501472444258,0.5975609756097561,10800,5,medium,0,Light,Low,273600,New,3.0,450.0
2897,C,Ship,2,2,173,2,medium,M,34,1575,1,1,Low,Very Low,1,68,4,787.5,4,4,-2,0.5904501472444258,0.5975609756097561,53550,2,medium,0,Light,High,272475,New,1.5,393.75
2898,F,Ship,4,1,160,2,high,F,65,1861,1,1,VeryLow,Very Low,0,65,4,465.25,6,4,0,0.6497890295358649,0.5975609756097561,120965,1,high,0,Light,High,297760,New,1.0,465.25
2899,D,Ship,4,2,180,3,low,M,22,1261,1,1,Low,Low,1,44,8,315.25,7,4,0,0.5927883707759108,0.5975609756097561,27742,2,low,0,Light,Medium,226980,Regular,1.5,315.25
2900,F,Ship,3,2,175,2,medium,F,12,1817,1,1,Low,Very Low,0,24,6,605.6666666666666,5,4,-1,0.5904501472444258,0.5975609756097561,21804,2,medium,0,Light,Medium,317975,New,1.5,454.25
2901,A,Ship,3,3,274,3,low,M,6,2986,1,1,Average,Low,1,18,9,995.3333333333334,6,4,-1,0.5927883707759108,0.5975609756097561,17916,3,low,0,Medium,Low,818164,Regular,2.0,746.5
2902,B,Ship,4,1,216,4,low,M,4,2263,1,1,VeryLow,Low,1,4,4,565.75,8,4,0,0.5927883707759108,0.5975609756097561,9052,1,low,0,Medium,Low,488808,Regular,1.0,565.75
2903,C,Ship,6,2,283,2,low,F,18,3077,1,1,Low,Very Low,0,36,12,512.8333333333334,8,4,2,0.5927883707759108,0.5975609756097561,55386,2,low,0,Medium,Medium,870791,New,1.5,769.25
2904,F,Ship,6,4,192,3,high,F,19,2944,1,1,Standard,Low,0,76,24,490.6666666666667,9,4,2,0.6497890295358649,0.5975609756097561,55936,4,high,0,Medium,Medium,565248,Regular,2.5,736.0
2905,D,Ship,3,4,236,4,medium,F,43,2584,1,1,Standard,Low,0,172,12,861.3333333333334,7,4,-1,0.5904501472444258,0.5975609756097561,111112,4,medium,0,Medium,High,609824,Regular,2.5,646.0
2906,F,Ship,4,2,232,3,high,M,46,2835,1,1,Low,Low,1,92,8,708.75,7,4,0,0.6497890295358649,0.5975609756097561,130410,2,high,0,Medium,High,657720,Regular,1.5,708.75
2907,A,Ship,2,3,204,4,low,F,20,3135,1,1,Average,Low,0,60,6,1567.5,6,4,-2,0.5927883707759108,0.5975609756097561,62700,3,low,0,Medium,Medium,639540,Regular,2.0,783.75
2908,B,Ship,3,2,138,2,medium,F,46,1436,1,1,Low,Very Low,0,92,6,478.6666666666667,5,4,-1,0.5904501472444258,0.5975609756097561,66056,2,medium,0,Light,High,198168,New,1.5,359.0
2909,C,Ship,3,4,154,2,low,M,29,1016,1,1,Standard,Very Low,1,116,12,338.6666666666667,5,4,-1,0.5927883707759108,0.5975609756097561,29464,4,low,0,Light,Medium,156464,New,2.5,254.0
2910,F,Ship,4,3,244,2,low,M,17,3125,1,1,Average,Very Low,1,51,12,781.25,6,4,0,0.5927883707759108,0.5975609756097561,53125,3,low,0,Medium,Medium,762500,New,2.0,781.25
2911,D,Ship,3,2,144,3,medium,F,48,1867,1,1,Low,Low,0,96,6,622.3333333333334,6,4,-1,0.5904501472444258,0.5975609756097561,89616,2,medium,0,Light,High,268848,Regular,1.5,466.75
2912,F,Ship,3,4,274,3,medium,M,19,3076,1,1,Standard,Low,1,76,12,1025.3333333333333,6,4,-1,0.5904501472444258,0.5975609756097561,58444,4,medium,0,Medium,Medium,842824,Regular,2.5,769.0
